,call_sign,ID,coef,d/n,max_speed,max_dir,avg_speed,avg_dir,month
27439,14737KABE,ABE2001122317042204,0.068,N,160.0,4.0,157.0,5.0,12
27440,14737KABE,ABE2001122317052205,0.069,N,160.0,4.0,157.0,4.0,12
27441,14737KABE,ABE2001122317062206,0.068,N,161.0,3.0,154.0,3.0,12
27442,14737KABE,ABE2001122317072207,0.067,N,162.0,3.0,161.0,4.0,12
27443,14737KABE,ABE2001122317082208,0.069,N,158.0,3.0,142.0,4.0,12
27444,14737KABE,ABE2001122317092209,0.066,N,153.0,4.0,156.0,6.0,12
27445,14737KABE,ABE2001122317102210,0.067,N,159.0,5.0,170.0,6.0,12
27446,14737KABE,ABE2001122317112211,0.068,N,166.0,5.0,160.0,6.0,12
27447,14737KABE,ABE2001122317122212,0.068,N,171.0,5.0,177.0,5.0,12
27448,14737KABE,ABE2001122317132213,0.068,N,174.0,4.0,180.0,4.0,12
27449,14737KABE,ABE2001122317142214,0.068,N,171.0,4.0,156.0,4.0,12
27450,14737KABE,ABE2001122317152215,0.068,N,157.0,3.0,155.0,4.0,12
27451,14737KABE,ABE2001122317162216,0.067,N,151.0,3.0,153.0,4.0,12
27452,14737KABE,ABE2001122317172217,0.067,N,152.0,3.0,160.0,4.0,12
27453,14737KABE,ABE2001122317182218,0.068,N,142.0,4.0,123.0,5.0,12
27454,14737KABE,ABE2001122317192219,0.068,N,133.0,4.0,129.0,5.0,12
27455,14737KABE,ABE2001122317202220,0.068,N,133.0,4.0,129.0,5.0,12
27456,14737KABE,ABE2001122317212221,0.068,N,136.0,4.0,144.0,5.0,12
27457,14737KABE,ABE2001122317222222,0.068,N,135.0,4.0,138.0,4.0,12
27458,14737KABE,ABE2001122317232223,0.067,N,128.0,4.0,124.0,5.0,12
27459,14737KABE,ABE2001122317242224,0.067,N,121.0,5.0,113.0,6.0,12
27460,14737KABE,ABE2001122317252225,0.068,N,112.0,6.0,114.0,7.0,12
27461,14737KABE,ABE2001122317262226,0.068,N,108.0,6.0,114.0,7.0,12
27462,14737KABE,ABE2001122317272227,0.068,N,112.0,6.0,117.0,7.0,12
27463,14737KABE,ABE2001122317282228,0.069,N,112.0,6.0,108.0,7.0,12
27464,14737KABE,ABE2001122317292229,0.068,N,111.0,6.0,108.0,8.0,12
27465,14737KABE,ABE2001122317302230,0.07,N,109.0,6.0,106.0,7.0,12
27467,14737KABE,ABE2001122317322232,0.071,N,108.0,7.0,109.0,8.0,12
27468,14737KABE,ABE2001122317332233,0.07,N,109.0,6.0,102.0,7.0,12
27469,14737KABE,ABE2001122317342234,0.071,N,105.0,6.0,110.0,7.0,12
27471,14737KABE,ABE2001122317362236,0.071,N,114.0,7.0,129.0,7.0,12
27472,14737KABE,ABE2001122317372237,0.071,N,128.0,6.0,139.0,8.0,12
27473,14737KABE,ABE2001122317382238,0.071,N,141.0,5.0,158.0,5.0,12
27474,14737KABE,ABE2001122317392239,0.07,N,152.0,5.0,156.0,7.0,12
27475,14737KABE,ABE2001122317402240,0.07,N,154.0,5.0,148.0,5.0,12
27476,14737KABE,ABE2001122317412241,0.10099999999999999,N,140.0,5.0,133.0,8.0,12
27477,14737KABE,ABE2001122317422242,0.106,N,135.0,5.0,133.0,6.0,12
27478,14737KABE,ABE2001122317432243,0.083,N,155.0,4.0,145.0,5.0,12
27479,14737KABE,ABE2001122317442244,0.075,N,164.0,5.0,164.0,6.0,12
27480,14737KABE,ABE2001122317452245,0.07200000000000001,N,172.0,4.0,162.0,5.0,12
27481,14737KABE,ABE2001122317462246,0.071,N,178.0,3.0,183.0,4.0,12
27482,14737KABE,ABE2001122317472247,0.07200000000000001,N,177.0,4.0,179.0,5.0,12
27483,14737KABE,ABE2001122317482248,0.07,N,181.0,5.0,170.0,7.0,12
27484,14737KABE,ABE2001122317492249,0.07,N,181.0,5.0,177.0,6.0,12
27485,14737KABE,ABE2001122317502250,0.07,N,176.0,5.0,177.0,6.0,12
27486,14737KABE,ABE2001122317512251,0.071,N,175.0,5.0,179.0,6.0,12
27487,14737KABE,ABE2001122317522252,0.071,N,177.0,5.0,174.0,5.0,12
27488,14737KABE,ABE2001122317532253,0.071,N,174.0,5.0,165.0,7.0,12
27489,14737KABE,ABE2001122317542254,0.07,N,172.0,7.0,170.0,8.0,12
27490,14737KABE,ABE2001122317552255,0.07,N,169.0,7.0,171.0,8.0,12
27491,14737KABE,ABE2001122317562256,0.07,N,166.0,6.0,170.0,7.0,12
27492,14737KABE,ABE2001122317572257,0.071,N,165.0,6.0,151.0,7.0,12
27493,14737KABE,ABE2001122317582258,0.07200000000000001,N,161.0,6.0,164.0,7.0,12
27494,14737KABE,ABE2001122317592259,0.07,N,162.0,6.0,161.0,6.0,12
27495,14737KABE,ABE2001122318002300,0.07,N,171.0,6.0,188.0,8.0,12
27497,14737KABE,ABE2001122318022302,0.07,N,164.0,8.0,156.0,9.0,12
27498,14737KABE,ABE2001122318032303,0.07,N,160.0,7.0,164.0,9.0,12
27499,14737KABE,ABE2001122318042304,0.069,N,164.0,7.0,180.0,9.0,12
27500,14737KABE,ABE2001122318052305,0.07,N,166.0,6.0,172.0,7.0,12
27501,14737KABE,ABE2001122318062306,0.07,N,165.0,6.0,156.0,7.0,12
27502,14737KABE,ABE2001122318072307,0.07,N,163.0,6.0,164.0,6.0,12
27503,14737KABE,ABE2001122318082308,0.069,N,160.0,5.0,161.0,5.0,12
27504,14737KABE,ABE2001122318092309,0.07,N,158.0,5.0,151.0,6.0,12
27505,14737KABE,ABE2001122318102310,0.07,N,157.0,5.0,161.0,5.0,12
27506,14737KABE,ABE2001122318112311,0.071,N,155.0,5.0,156.0,6.0,12
27507,14737KABE,ABE2001122318122312,0.07,N,150.0,5.0,150.0,6.0,12
27508,14737KABE,ABE2001122318132313,0.07,N,140.0,5.0,127.0,6.0,12
27509,14737KABE,ABE2001122318142314,0.07,N,134.0,6.0,142.0,8.0,12
27510,14737KABE,ABE2001122318152315,0.07,N,136.0,6.0,134.0,7.0,12
27511,14737KABE,ABE2001122318162316,0.07,N,135.0,6.0,126.0,6.0,12
27512,14737KABE,ABE2001122318172317,0.07,N,129.0,4.0,138.0,5.0,12
27513,14737KABE,ABE2001122318182318,0.07,N,120.0,4.0,122.0,4.0,12
27514,14737KABE,ABE2001122318192319,0.071,N,123.0,4.0,162.0,4.0,12
27515,14737KABE,ABE2001122318202320,0.071,N,116.0,3.0,129.0,4.0,12
27516,14737KABE,ABE2001122318212321,0.071,N,121.0,4.0,122.0,5.0,12
27517,14737KABE,ABE2001122318222322,0.07,N,131.0,5.0,116.0,6.0,12
27518,14737KABE,ABE2001122318232323,0.07,N,119.0,6.0,117.0,6.0,12
27519,14737KABE,ABE2001122318242324,0.071,N,119.0,6.0,135.0,7.0,12
27520,14737KABE,ABE2001122318252325,0.07200000000000001,N,124.0,6.0,123.0,6.0,12
27521,14737KABE,ABE2001122318262326,0.071,N,124.0,6.0,120.0,7.0,12
27522,14737KABE,ABE2001122318272327,0.071,N,131.0,5.0,127.0,5.0,12
27523,14737KABE,ABE2001122318282328,0.071,N,132.0,4.0,133.0,5.0,12
27524,14737KABE,ABE2001122318292329,0.071,N,127.0,5.0,137.0,7.0,12
27525,14737KABE,ABE2001122318302330,0.07200000000000001,N,120.0,6.0,105.0,6.0,12
